gOTU,mean_abundance,occurrence,Unnamed: 0,Domain,Phylum,Class,Order,Family,Genus,Species,Strain,predicted_occurrence,lower_conf_int,upper_conf_int
G000373745,6.001824554664618e-06,0.0211864406779661,2392,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,g__Oligella,s__Oligella ureolytica,t__,0.0009765359846561905,5.246278652041962e-05,0.017885986331521005
G000759795,6.001824554664618e-06,0.0211864406779661,4700,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia vulneris,t__,0.0009765359846561905,5.246278652041962e-05,0.017885986331521005
G000374585,6.001824554664618e-06,0.0211864406779661,2421,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides barnesiae,t__,0.0009765359846561905,5.246278652041962e-05,0.017885986331521005
G000736415,6.001824554664618e-06,0.0211864406779661,4455,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,s__Campylobacter iguaniorum,t__,0.0009765359846561905,5.246278652041962e-05,0.017885986331521005
G000377005,6.001824554664618e-06,0.0211864406779661,2463,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus minor,t__,0.0009765359846561905,5.246278652041962e-05,0.017885986331521005
G001719645,6.001824554664618e-06,0.0211864406779661,7806,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium pseudotuberculosis,t__,0.0009765359846561905,5.246278652041962e-05,0.017885986331521005
G000204645,6.001824554664618e-06,0.0211864406779661,1210,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Alicycliphilus,s__Alicycliphilus denitrificans,t__,0.0009765359846561905,5.246278652041962e-05,0.017885986331521005
G001425465,6.001824554664618e-06,0.0211864406779661,6510,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylobacteriaceae,g__Methylobacterium,s__Methylobacterium sp. Leaf456,t__,0.0009765359846561905,5.246278652041962e-05,0.017885986331521005
G000296835,6.001824554664618e-06,0.0211864406779661,1824,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus hominis,t__,0.0009765359846561905,5.246278652041962e-05,0.017885986331521005
G000301055,6.001824554664618e-06,0.0211864406779661,1887,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__Facklamia,s__Facklamia ignava,t__,0.0009765359846561905,5.246278652041962e-05,0.017885986331521005
G001598035,6.001824554664618e-06,0.0211864406779661,7369,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus halotolerans,t__,0.0009765359846561905,5.246278652041962e-05,0.017885986331521005
G000165505,6.001824554664618e-06,0.0211864406779661,873,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Ilyobacter,s__Ilyobacter polytropus,t__,0.0009765359846561905,5.246278652041962e-05,0.017885986331521005
G000169235,6.001824554664618e-06,0.0211864406779661,903,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Dorea,s__Dorea formicigenerans,t__,0.0009765359846561905,5.246278652041962e-05,0.017885986331521005
G001548015,6.001824554664618e-06,0.0211864406779661,7116,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylobacteriaceae,g__Methylobacterium,s__Methylobacterium aquaticum,t__,0.0009765359846561905,5.246278652041962e-05,0.017885986331521005
G001543405,6.001824554664618e-06,0.0211864406779661,7104,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium P201,t__,0.0009765359846561905,5.246278652041962e-05,0.017885986331521005
G000981525,6.001824554664618e-06,0.0211864406779661,5304,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,s__Lactococcus piscium,t__,0.0009765359846561905,5.246278652041962e-05,0.017885986331521005
G000971295,6.001824554664618e-06,0.0211864406779661,5240,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Devosia,s__Devosia epidermidihirudinis,t__,0.0009765359846561905,5.246278652041962e-05,0.017885986331521005
