gOTU,mean_abundance,occurrence,Unnamed: 0,Domain,Phylum,Class,Order,Family,Genus,Species,Strain,predicted_occurrence,lower_conf_int,upper_conf_int
G001028605,6.520605112154408e-05,0.16666666666666666,5871,k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__Treponema endosymbiont of Eucomonympha sp.,t__,0.009796643092760626,0.0005360723891971869,0.1543300112063154
G000705255,6.520605112154408e-05,0.16666666666666666,4254,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,s__Campylobacter mucosalis,t__,0.009796643092760626,0.0005360723891971869,0.1543300112063154
G000173795,6.520605112154408e-05,0.16666666666666666,945,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Catenibacterium,s__Catenibacterium mitsuokai,t__,0.009796643092760626,0.0005360723891971869,0.1543300112063154
G000430525,9.12884715701617e-05,0.20833333333333334,3141,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella corporis,t__,0.01369133947496104,0.0010063169805530625,0.16057440852900556
G000385925,9.12884715701617e-05,0.16666666666666666,2653,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus cristatus,t__,0.01369133947496104,0.0010063169805530625,0.16057440852900556
G000565015,9.12884715701617e-05,0.16666666666666666,3837,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__Porphyromonas catoniae,t__,0.01369133947496104,0.0010063169805530625,0.16057440852900556
G000429265,0.00010432968179447051,0.16666666666666666,3104,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces gerencseriae,t__,0.015633572210129953,0.0012874832960548255,0.1636417438810534
G000466165,0.00010432968179447051,0.20833333333333334,3421,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinobaculum,s__Actinobaculum sp. oral taxon 183,t__,0.015633572210129953,0.0012874832960548255,0.1636417438810534
G001457795,0.00010432968179447051,0.20833333333333334,6795,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Olsenella,s__Olsenella sp. SIT9,t__,0.015633572210129953,0.0012874832960548255,0.1636417438810534
G000024225,0.00011737089201877935,0.20833333333333334,484,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Atopobium,s__Atopobium parvulum,t__,0.01757240097081736,0.0015970239387719937,0.16667483629188234
G000378745,0.00011737089201877935,0.20833333333333334,2492,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella amnii,t__,0.01757240097081736,0.0015970239387719937,0.16667483629188234
G000220835,0.00014345331246739697,0.20833333333333334,1324,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces sp. oral taxon 448,t__,0.02143986554031918,0.0022951488797971487,0.1726444043238312
G000159115,0.00014345331246739697,0.20833333333333334,812,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium accolens,t__,0.02143986554031918,0.0022951488797971487,0.1726444043238312
G000296385,0.00014345331246739697,0.20833333333333334,1813,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Lachnoanaerobaculum,s__Lachnoanaerobaculum sp. OBRC5-5,t__,0.02143986554031918,0.0022951488797971487,0.1726444043238312
G001514435,0.00014345331246739697,0.20833333333333334,7050,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus thermophilus,t__,0.02143986554031918,0.0022951488797971487,0.1726444043238312
G000262545,0.00015649452269170578,0.20833333333333334,1650,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella bivia,t__,0.02336851082797542,0.0026810030935240786,0.1755836263715066
G001995095,0.00015649452269170578,0.3333333333333333,9877,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Oceanospirillaceae,g__Oceanospirillum,s__Oceanospirillum linum,t__,0.02336851082797542,0.0026810030935240786,0.1755836263715066
G000160075,0.00016953573291601462,0.20833333333333334,824,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__Abiotrophia,s__Abiotrophia defectiva,t__,0.025293771098783502,0.00308974397520638,0.1784941258210852
G000308635,0.00016953573291601462,0.25,1939,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Nocardiaceae,g__Nocardia,s__Nocardia otitidiscaviarum,t__,0.025293771098783502,0.00308974397520638,0.1784941258210852
G000253395,0.0001825769431403234,0.20833333333333334,1603,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus thermophilus,t__,0.027215651085126247,0.0035202575409206682,0.18137702481534365
G000007325,0.0001825769431403234,0.20833333333333334,21,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,s__Fusobacterium nucleatum,t__Fusobacterium nucleatum subsp. nucleatum,0.027215651085126247,0.0035202575409206682,0.18137702481534365
G000463355,0.00019561815336463224,0.20833333333333334,3413,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus intermedius,t__,0.02913415551654641,0.003971511653456647,0.184233363645449
