	Difference off Neutral Model	Kingdom	Phylum	Class	Order	Family	Genus	Species
10	0.8147387696084291	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobium elkanii
9	0.7256754853925516	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	s__Cutibacterium acnes
6	0.7215500797615257	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	s__Cutibacterium acnes
7	0.6936833626903187	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	s__Cutibacterium acnes
8	0.6805531622521367	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	s__Cutibacterium acnes
5	0.5690548654079053	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__Prevotella oris
0	0.5370993364911659	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Leifsonia	s__Leifsonia sp. Root227
4	0.5202298145500119	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__	g__Ideonella	s__Ideonella sakaiensis
1	0.5162588454231015	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__Orrella	s__Orrella dioscoreae
2	0.5160746045868382	k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Faecalitalea	s__Faecalitalea cylindroides
3	0.501817763549083	k__Bacteria	p__Tenericutes	c__Mollicutes	o__Acholeplasmatales	f__Acholeplasmataceae	g__Candidatus Phytoplasma	s__Milkweed yellows phytoplasma
