gOTU,mean_abundance,occurrence,Unnamed: 0,Domain,Phylum,Class,Order,Family,Genus,Species,Strain,predicted_occurrence,lower_conf_int,upper_conf_int
G000318135,8.481620328747605e-06,0.029940119760479042,2075,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium durum,t__,0.002071083684971664,0.00015897049584711297,0.026375576813494603
G000807275,8.481620328747605e-06,0.029940119760479042,4885,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Orbales,f__Orbaceae,g__Frischella,s__Frischella perrara,t__,0.002071083684971664,0.00015897049584711297,0.026375576813494603
G000230275,8.481620328747605e-06,0.029940119760479042,1397,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__Acidaminococcus,s__Acidaminococcus intestini,t__,0.002071083684971664,0.00015897049584711297,0.026375576813494603
G000380025,8.481620328747605e-06,0.029940119760479042,2532,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus entericus,t__,0.002071083684971664,0.00015897049584711297,0.026375576813494603
G000243215,8.481620328747605e-06,0.029940119760479042,1515,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Odoribacteraceae,g__Odoribacter,s__Odoribacter laneus,t__,0.002071083684971664,0.00015897049584711297,0.026375576813494603
G900086585,8.481620328747605e-06,0.029940119760479042,10057,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales Family XIII. Incertae Sedis,g__Emergencia,s__Emergencia timonensis,t__,0.002071083684971664,0.00015897049584711297,0.026375576813494603
G001605965,8.481620328747605e-06,0.029940119760479042,7441,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas koreensis,t__,0.002071083684971664,0.00015897049584711297,0.026375576813494603
G001314305,8.481620328747605e-06,0.029940119760479042,6312,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Stenotrophomonas,s__Stenotrophomonas acidaminiphila,t__,0.002071083684971664,0.00015897049584711297,0.026375576813494603
G000205165,8.481620328747605e-06,0.029940119760479042,1213,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Paraprevotella,s__Paraprevotella xylaniphila,t__,0.002071083684971664,0.00015897049584711297,0.026375576813494603
G000971295,8.481620328747605e-06,0.029940119760479042,5240,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Devosia,s__Devosia epidermidihirudinis,t__,0.002071083684971664,0.00015897049584711297,0.026375576813494603
