gOTU,mean_abundance,occurrence,Unnamed: 0,Domain,Phylum,Class,Order,Family,Genus,Species,Strain,predicted_occurrence,lower_conf_int,upper_conf_int
G900142485,2.907652942544778e-06,0.16666666666666666,10529,k__Bacteria,p__Fibrobacteres,c__Fibrobacteria,o__Fibrobacterales,f__Fibrobacteraceae,g__Fibrobacter,s__Fibrobacter sp. UWB12,t__,0.01344904804260727,0.0009733474043218532,0.1601896561450521
G000746155,2.907652942544778e-06,0.16666666666666666,4594,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella sp. FD3004,t__,0.01344904804260727,0.0009733474043218532,0.1601896561450521
G000434515,2.907652942544778e-06,0.16666666666666666,3250,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella sp. CAG:604,t__,0.01344904804260727,0.0009733474043218532,0.1601896561450521
G001050535,2.907652942544778e-06,0.16666666666666666,5955,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Intrasporangiaceae,g__Tetrasphaera,s__Tetrasphaera australiensis,t__,0.01344904804260727,0.0009733474043218532,0.1601896561450521
G001411495,2.907652942544778e-06,0.16666666666666666,6399,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia,s__Burkholderia cepacia,t__,0.01344904804260727,0.0009733474043218532,0.1601896561450521
G001406595,2.907652942544778e-06,0.16666666666666666,6394,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Turicibacter,s__Turicibacter sanguinis,t__,0.01344904804260727,0.0009733474043218532,0.1601896561450521
G000221945,2.907652942544778e-06,0.16666666666666666,1332,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Avibacterium,s__Avibacterium paragallinarum,t__,0.01344904804260727,0.0009733474043218532,0.1601896561450521
G000204195,2.907652942544778e-06,0.16666666666666666,1202,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,s__Acidovorax radicis,t__,0.01344904804260727,0.0009733474043218532,0.1601896561450521
G900129135,2.907652942544778e-06,0.16666666666666666,10466,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Lactonifactor,s__Lactonifactor longoviformis,t__,0.01344904804260727,0.0009733474043218532,0.1601896561450521
G000758825,2.907652942544778e-06,0.16666666666666666,4682,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Arcanobacterium,s__Arcanobacterium sp. S3PF19,t__,0.01344904804260727,0.0009733474043218532,0.1601896561450521
G000282995,2.907652942544778e-06,0.16666666666666666,1737,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Melaminivora,s__Melaminivora alkalimesophila,t__,0.01344904804260727,0.0009733474043218532,0.1601896561450521
G000235645,2.907652942544778e-06,0.16666666666666666,1436,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus simiae,t__,0.01344904804260727,0.0009733474043218532,0.1601896561450521
G000770305,2.907652942544778e-06,0.16666666666666666,4786,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Erwiniaceae,g__Erwinia,s__Erwinia oleae,t__,0.01344904804260727,0.0009733474043218532,0.1601896561450521
G000021865,2.907652942544778e-06,0.16666666666666666,410,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Rhodobacter,s__Rhodobacter capsulatus,t__,0.01344904804260727,0.0009733474043218532,0.1601896561450521
G000614145,2.907652942544778e-06,0.16666666666666666,3946,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides faecichinchillae,t__,0.01344904804260727,0.0009733474043218532,0.1601896561450521
