otu_id,mean_abundance,occurrence,Kingdom,Phylum,Class,Order,Family,Genus,Species,predicted_occurrence,lower_conf_int,upper_conf_int
375489,2.075426944971537e-05,0.04375,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae,g__Paenibacillus,s__cellulosilyticus,0.011590406242205087,0.0030483899139720633,0.04303511588819977
2109915,2.075426944971537e-05,0.04375,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Simplicispira,s__suum,0.011590406242205087,0.0030483899139720633,0.04303511588819977
67305,2.075426944971537e-05,0.04375,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__hawaiiensis,0.011590406242205087,0.0030483899139720633,0.04303511588819977
160660,2.075426944971537e-05,0.04375,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__Ectothiorhodospiraceae,g__Acidihalobacter,s__prosperus,0.011590406242205087,0.0030483899139720633,0.04303511588819977
353800,2.075426944971537e-05,0.04375,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Natrialbales,f__Natrialbaceae,g__Halostagnicola,s__larsenii,0.011590406242205087,0.0030483899139720633,0.04303511588819977
1544730,2.075426944971537e-05,0.04375,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Kribbella,s__qitaiheensis,0.011590406242205087,0.0030483899139720633,0.04303511588819977
2304600,2.075426944971537e-05,0.04375,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Cohaesibacteraceae,g__Breoghania,s__sp. L-A4,0.011590406242205087,0.0030483899139720633,0.04303511588819977
74313,2.075426944971537e-05,0.04375,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Brevundimonas,s__subvibrioides,0.011590406242205087,0.0030483899139720633,0.04303511588819977
31988,2.075426944971537e-05,0.04375,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Aminobacter,s__,0.011590406242205087,0.0030483899139720633,0.04303511588819977
2696397,2.075426944971537e-05,0.04375,k__Viruses,p__Uroviricota,c__Caudoviricetes,o__Caudovirales,f__Chaseviridae,g__Carltongylesvirus,s__Escherichia phage flopper,0.011590406242205087,0.0030483899139720633,0.04303511588819977
1810,2.075426944971537e-05,0.04375,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycolicibacterium,s__vaccae,0.011590406242205087,0.0030483899139720633,0.04303511588819977
291594,2.075426944971537e-05,0.04375,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae,g__Micromonospora,s__rifamycinica,0.011590406242205087,0.0030483899139720633,0.04303511588819977
22,2.075426944971537e-05,0.04375,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Shewanellaceae,g__Shewanella,s__,0.011590406242205087,0.0030483899139720633,0.04303511588819977
212767,2.075426944971537e-05,0.04375,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__sp. JS623,0.011590406242205087,0.0030483899139720633,0.04303511588819977
107709,2.075426944971537e-05,0.04375,k__Bacteria,p__Verrucomicrobia,c__Opitutae,o__Opitutales,f__Opitutaceae,g__Opitutus,s__terrae,0.011590406242205087,0.0030483899139720633,0.04303511588819977
590652,2.075426944971537e-05,0.04375,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__paraseoulense,0.011590406242205087,0.0030483899139720633,0.04303511588819977
1404,2.075426944971537e-05,0.04375,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__megaterium,0.011590406242205087,0.0030483899139720633,0.04303511588819977
2662397,2.075426944971537e-05,0.04375,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__sp. QMT-28,0.011590406242205087,0.0030483899139720633,0.04303511588819977
1264596,2.075426944971537e-05,0.04375,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__sp. SCSIO 3032,0.011590406242205087,0.0030483899139720633,0.04303511588819977
2662065,2.075426944971537e-05,0.04375,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__sp. SYP-A7193,0.011590406242205087,0.0030483899139720633,0.04303511588819977
116188,2.075426944971537e-05,0.04375,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__coeruleorubidus,0.011590406242205087,0.0030483899139720633,0.04303511588819977
188770,2.075426944971537e-05,0.04375,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__koyangensis,0.011590406242205087,0.0030483899139720633,0.04303511588819977
173860,2.075426944971537e-05,0.04375,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__rectiverticillatus,0.011590406242205087,0.0030483899139720633,0.04303511588819977
1849032,2.075426944971537e-05,0.04375,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Arthrobacter,s__sp. U41,0.011590406242205087,0.0030483899139720633,0.04303511588819977
2709304,2.075426944971537e-05,0.04375,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,g__Microbacterium,s__sp. Se63.02b,0.011590406242205087,0.0030483899139720633,0.04303511588819977
2498704,2.075426944971537e-05,0.04375,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,g__Agromyces,s__sp. LHK192,0.011590406242205087,0.0030483899139720633,0.04303511588819977
