otu_id,mean_abundance,occurrence,Kingdom,Phylum,Class,Order,Family,Genus,Species,predicted_occurrence,lower_conf_int,upper_conf_int
375489,4.1137752703338036e-05,0.0875,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae,g__Paenibacillus,s__cellulosilyticus,0.023597442908557142,0.0062828407344196965,0.08456779322643876
372663,4.1137752703338036e-05,0.0875,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Promicromonosporaceae,g__Isoptericola,s__dokdonensis,0.023597442908557142,0.0062828407344196965,0.08456779322643876
46429,4.1137752703338036e-05,0.0875,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingobium,s__chlorophenolicum,0.023597442908557142,0.0062828407344196965,0.08456779322643876
1938841,4.1137752703338036e-05,0.0875,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__sp. 2323.1,0.023597442908557142,0.0062828407344196965,0.08456779322643876
2045452,4.1137752703338036e-05,0.0875,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides,s__sp. 78,0.023597442908557142,0.0062828407344196965,0.08456779322643876
85015,4.1137752703338036e-05,0.0875,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__,s__,0.023597442908557142,0.0062828407344196965,0.08456779322643876
237610,4.1137752703338036e-05,0.0875,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__psychrotolerans,0.023597442908557142,0.0062828407344196965,0.08456779322643876
445,4.1137752703338036e-05,0.0875,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Legionellaceae,g__Legionella,s__,0.023597442908557142,0.0062828407344196965,0.08456779322643876
1867,4.1137752703338036e-05,0.0875,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae,g__Actinoplanes,s__teichomyceticus,0.023597442908557142,0.0062828407344196965,0.08456779322643876
1814,4.1137752703338036e-05,0.0875,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Amycolatopsis,s__methanolica,0.023597442908557142,0.0062828407344196965,0.08456779322643876
