gOTU,mean_abundance,occurrence,Unnamed: 0,Domain,Phylum,Class,Order,Family,Genus,Species,Strain,predicted_occurrence,lower_conf_int,upper_conf_int
G000831485,6.001824554664618e-06,0.0211864406779661,5019,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus iniae,t__,0.0009968841667442607,5.455615081313529e-05,0.01792393751162355
G000769115,6.001824554664618e-06,0.0211864406779661,4780,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__Porphyromonas canoris,t__,0.0009968841667442607,5.455615081313529e-05,0.01792393751162355
G000286435,6.001824554664618e-06,0.0211864406779661,1787,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Morganellaceae,g__Morganella,s__Morganella morganii,t__Morganella morganii subsp. morganii,0.0009968841667442607,5.455615081313529e-05,0.01792393751162355
G001436125,6.001824554664618e-06,0.0211864406779661,6641,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus hominis,t__,0.0009968841667442607,5.455615081313529e-05,0.01792393751162355
G001902585,6.001824554664618e-06,0.0211864406779661,9642,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Streptobacillus,s__Streptobacillus notomytis,t__,0.0009968841667442607,5.455615081313529e-05,0.01792393751162355
G000426565,6.001824554664618e-06,0.0211864406779661,3033,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella albensis,t__,0.0009968841667442607,5.455615081313529e-05,0.01792393751162355
G000516555,6.001824554664618e-06,0.0211864406779661,3714,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Afipia,s__Afipia sp. P52-10,t__,0.0009968841667442607,5.455615081313529e-05,0.01792393751162355
G000009545,6.001824554664618e-06,0.0211864406779661,80,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus uberis,t__,0.0009968841667442607,5.455615081313529e-05,0.01792393751162355
G000312025,6.001824554664618e-06,0.0211864406779661,1977,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Peptoniphilus,s__Peptoniphilus timonensis,t__,0.0009968841667442607,5.455615081313529e-05,0.01792393751162355
G000019405,7.2021894655975416e-06,0.025423728813559324,354,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Histophilus,s__Histophilus somni,t__,0.001196154930854898,7.695932314150632e-05,0.018293692563826895
G000424205,7.2021894655975416e-06,0.0211864406779661,2965,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium,s__Clostridium cadaveris,t__,0.001196154930854898,7.695932314150632e-05,0.018293692563826895
G001297765,7.2021894655975416e-06,0.0211864406779661,6189,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Trabulsiella,s__Trabulsiella odontotermitis,t__,0.001196154930854898,7.695932314150632e-05,0.018293692563826895
G000348525,7.2021894655975416e-06,0.0211864406779661,2292,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Avibacterium,s__Avibacterium paragallinarum,t__,0.001196154930854898,7.695932314150632e-05,0.018293692563826895
G000364865,7.2021894655975416e-06,0.025423728813559324,2333,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces cardiffensis,t__,0.001196154930854898,7.695932314150632e-05,0.018293692563826895
G001436835,7.2021894655975416e-06,0.0211864406779661,6665,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus fermentum,t__,0.001196154930854898,7.695932314150632e-05,0.018293692563826895
G000204645,7.2021894655975416e-06,0.0211864406779661,1210,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Alicycliphilus,s__Alicycliphilus denitrificans,t__,0.001196154930854898,7.695932314150632e-05,0.018293692563826895
G000495505,7.2021894655975416e-06,0.0211864406779661,3571,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,s__Campylobacter fetus,t__Campylobacter fetus subsp. testudinum,0.001196154930854898,7.695932314150632e-05,0.018293692563826895
G001536105,7.2021894655975416e-06,0.025423728813559324,7086,k__Bacteria,p__Candidatus Kryptonia,c__,o__,f__,g__Candidatus Kryptobacter,s__Candidatus Kryptobacter tengchongensis,t__,0.001196154930854898,7.695932314150632e-05,0.018293692563826895
G000245755,7.2021894655975416e-06,0.0211864406779661,1549,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Helcococcus,s__Helcococcus kunzii,t__,0.001196154930854898,7.695932314150632e-05,0.018293692563826895
G000368625,7.2021894655975416e-06,0.0211864406779661,2342,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter schindleri,t__,0.001196154930854898,7.695932314150632e-05,0.018293692563826895
G000173795,7.2021894655975416e-06,0.025423728813559324,945,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Catenibacterium,s__Catenibacterium mitsuokai,t__,0.001196154930854898,7.695932314150632e-05,0.018293692563826895
G000165505,7.2021894655975416e-06,0.025423728813559324,873,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Ilyobacter,s__Ilyobacter polytropus,t__,0.001196154930854898,7.695932314150632e-05,0.018293692563826895
G000380025,7.2021894655975416e-06,0.025423728813559324,2532,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus entericus,t__,0.001196154930854898,7.695932314150632e-05,0.018293692563826895
G001458375,7.2021894655975416e-06,0.0211864406779661,6808,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Tropicibacter,s__Tropicibacter naphthalenivorans,t__,0.001196154930854898,7.695932314150632e-05,0.018293692563826895
G000550805,7.2021894655975416e-06,0.0211864406779661,3831,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium vitaeruminis,t__,0.001196154930854898,7.695932314150632e-05,0.018293692563826895
G000427365,7.2021894655975416e-06,0.025423728813559324,3051,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Rikenella,s__Rikenella microfusus,t__,0.001196154930854898,7.695932314150632e-05,0.018293692563826895
G000228845,7.2021894655975416e-06,0.0211864406779661,1390,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus mutans,t__,0.001196154930854898,7.695932314150632e-05,0.018293692563826895
G001318345,7.2021894655975416e-06,0.0211864406779661,6347,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides cellulosilyticus,t__,0.001196154930854898,7.695932314150632e-05,0.018293692563826895
G000521765,7.2021894655975416e-06,0.0211864406779661,3775,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Bibersteinia,s__Bibersteinia trehalosi,t__,0.001196154930854898,7.695932314150632e-05,0.018293692563826895
G000739715,7.2021894655975416e-06,0.0211864406779661,4490,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Falsirhodobacter,s__Falsirhodobacter sp. alg1,t__,0.001196154930854898,7.695932314150632e-05,0.018293692563826895
G900086555,7.2021894655975416e-06,0.025423728813559324,10056,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__Neisseria weaveri,t__,0.001196154930854898,7.695932314150632e-05,0.018293692563826895
G000262305,7.2021894655975416e-06,0.025423728813559324,1647,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Shimwellia,s__Shimwellia blattae,t__,0.001196154930854898,7.695932314150632e-05,0.018293692563826895
G001404455,7.2021894655975416e-06,0.0211864406779661,6386,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia,s__Blautia obeum,t__,0.001196154930854898,7.695932314150632e-05,0.018293692563826895
G001406335,7.2021894655975416e-06,0.025423728813559324,6392,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Fusicatenibacter,s__Fusicatenibacter saccharivorans,t__,0.001196154930854898,7.695932314150632e-05,0.018293692563826895
G001437585,7.2021894655975416e-06,0.0211864406779661,6678,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Olsenella,s__Olsenella uli,t__,0.001196154930854898,7.695932314150632e-05,0.018293692563826895
G900129085,7.2021894655975416e-06,0.025423728813559324,10465,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Atopostipes,s__Atopostipes suicloacalis,t__,0.001196154930854898,7.695932314150632e-05,0.018293692563826895
G001493375,7.2021894655975416e-06,0.0211864406779661,6938,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__Streptomyces specialis,t__,0.001196154930854898,7.695932314150632e-05,0.018293692563826895
G000248055,7.2021894655975416e-06,0.0211864406779661,1570,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Gordoniaceae,g__Gordonia,s__Gordonia sputi,t__,0.001196154930854898,7.695932314150632e-05,0.018293692563826895
G000524335,7.2021894655975416e-06,0.0211864406779661,3786,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Olsenella,s__Olsenella uli,t__,0.001196154930854898,7.695932314150632e-05,0.018293692563826895
G000187995,7.2021894655975416e-06,0.0211864406779661,1074,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus macacae,t__,0.001196154930854898,7.695932314150632e-05,0.018293692563826895
G000376985,8.402554376530466e-06,0.025423728813559324,2462,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus henryi,t__,0.0013953903501549014,0.00010267530899891152,0.018660065245091492
G000970465,8.402554376530466e-06,0.029661016949152543,5229,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Devosia,s__Devosia insulae,t__,0.0013953903501549014,0.00010267530899891152,0.018660065245091492
G000499785,8.402554376530466e-06,0.025423728813559324,3611,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides neonati,t__,0.0013953903501549014,0.00010267530899891152,0.018660065245091492
G001318405,8.402554376530466e-06,0.0211864406779661,6349,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,s__Enterococcus cecorum,t__,0.0013953903501549014,0.00010267530899891152,0.018660065245091492
G000233655,8.402554376530466e-06,0.025423728813559324,1420,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Dermabacteraceae,g__Brachybacterium,s__Brachybacterium paraconglomeratum,t__,0.0013953903501549014,0.00010267530899891152,0.018660065245091492
G000301055,8.402554376530466e-06,0.025423728813559324,1887,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__Facklamia,s__Facklamia ignava,t__,0.0013953903501549014,0.00010267530899891152,0.018660065245091492
G001039735,8.402554376530466e-06,0.025423728813559324,5901,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus fermentum,t__,0.0013953903501549014,0.00010267530899891152,0.018660065245091492
G000732635,8.402554376530466e-06,0.029661016949152543,4423,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium,s__Clostridium sulfidigenes,t__,0.0013953903501549014,0.00010267530899891152,0.018660065245091492
G001404335,8.402554376530466e-06,0.029661016949152543,6385,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Lachnoclostridium,s__[Eubacterium] contortum,t__,0.0013953903501549014,0.00010267530899891152,0.018660065245091492
G000189595,8.402554376530466e-06,0.025423728813559324,1086,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Lachnoclostridium,s__[Clostridium] symbiosum,t__,0.0013953903501549014,0.00010267530899891152,0.018660065245091492
G001708485,8.402554376530466e-06,0.025423728813559324,7777,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas fluorescens,t__,0.0013953903501549014,0.00010267530899891152,0.018660065245091492
G000420065,8.402554376530466e-06,0.025423728813559324,2815,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Varibaculum,s__Varibaculum cambriense,t__,0.0013953903501549014,0.00010267530899891152,0.018660065245091492
G000442905,8.402554376530466e-06,0.029661016949152543,3362,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Avibacterium,s__Avibacterium paragallinarum,t__,0.0013953903501549014,0.00010267530899891152,0.018660065245091492
G000768875,8.402554376530466e-06,0.0211864406779661,4777,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__Porphyromonas sp. COT-239 OH1446,t__,0.0013953903501549014,0.00010267530899891152,0.018660065245091492
G000758965,8.402554376530466e-06,0.025423728813559324,4687,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium freneyi,t__,0.0013953903501549014,0.00010267530899891152,0.018660065245091492
G001281115,8.402554376530466e-06,0.025423728813559324,6140,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Arthrobacter,s__Arthrobacter sp. LS16,t__,0.0013953903501549014,0.00010267530899891152,0.018660065245091492
G000741695,8.402554376530466e-06,0.0211864406779661,4517,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium,s__Bifidobacterium reuteri,t__,0.0013953903501549014,0.00010267530899891152,0.018660065245091492
G001299455,8.402554376530466e-06,0.0211864406779661,6198,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__,s__Clostridiales bacterium SIT11,t__,0.0013953903501549014,0.00010267530899891152,0.018660065245091492
G900101835,8.402554376530466e-06,0.025423728813559324,10141,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptococcaceae,g__Peptococcus,s__Peptococcus niger,t__,0.0013953903501549014,0.00010267530899891152,0.018660065245091492
