gOTU,mean_abundance,occurrence,Unnamed: 0,Domain,Phylum,Class,Order,Family,Genus,Species,Strain,predicted_occurrence,lower_conf_int,upper_conf_int
G000173795,2.608242044861763e-05,0.08333333333333333,945,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Catenibacterium,s__Catenibacterium mitsuokai,t__,0.005139536181559823,0.0002935227552808978,0.08332399867900171
G000426665,2.608242044861763e-05,0.08333333333333333,3038,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Selenomonas,s__Selenomonas artemidis,t__,0.005139536181559823,0.0002935227552808978,0.08332399867900171
G000735515,2.608242044861763e-05,0.08333333333333333,4451,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Leclercia,s__Leclercia adecarboxylata,t__,0.005139536181559823,0.0002935227552808978,0.08332399867900171
G000188055,2.608242044861763e-05,0.08333333333333333,1077,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus urinalis,t__,0.005139536181559823,0.0002935227552808978,0.08332399867900171
G001828765,2.608242044861763e-05,0.08333333333333333,9320,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__,g__,s__Pseudomonadales bacterium RIFCSPHIGHO2_12_FULL_40_16,t__,0.005139536181559823,0.0002935227552808978,0.08332399867900171
G000381265,2.608242044861763e-05,0.08333333333333333,2556,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Curvibacter,s__Curvibacter lanceolatus,t__,0.005139536181559823,0.0002935227552808978,0.08332399867900171
G000379985,2.608242044861763e-05,0.08333333333333333,2530,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus caballi,t__,0.005139536181559823,0.0002935227552808978,0.08332399867900171
G000311825,2.608242044861763e-05,0.08333333333333333,1970,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Peptoniphilus,s__Peptoniphilus grossensis,t__,0.005139536181559823,0.0002935227552808978,0.08332399867900171
G000023145,3.260302556077204e-05,0.10416666666666667,448,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium kroppenstedtii,t__,0.006420840455023447,0.0004462293903940498,0.085544010965205
G900111525,3.260302556077204e-05,0.10416666666666667,10318,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella sp. kh1p2,t__,0.006420840455023447,0.0004462293903940498,0.085544010965205
