otu_id,mean_abundance,occurrence,Kingdom,Phylum,Class,Order,Family,Genus,Species,predicted_occurrence,lower_conf_int,upper_conf_int
68278,1.9744311170344045e-05,0.044444444444444446,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__tuirus,0.012572296506751957,0.003701194274494609,0.041813487869568886
1032851,1.9744311170344045e-05,0.044444444444444446,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__nuruki,0.012572296506751957,0.003701194274494609,0.041813487869568886
386911,1.9744311170344045e-05,0.044444444444444446,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__seoulense,0.012572296506751957,0.003701194274494609,0.041813487869568886
614,1.9744311170344045e-05,0.044444444444444446,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Yersiniaceae,g__Serratia,s__liquefaciens,0.012572296506751957,0.003701194274494609,0.041813487869568886
1798223,1.9744311170344045e-05,0.044444444444444446,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,g__Leifsonia,s__sp. 21MFCrub1.1,0.012572296506751957,0.003701194274494609,0.041813487869568886
2067960,1.9744311170344045e-05,0.044444444444444446,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Zoogloeaceae,g__Azoarcus,s__sp. SY39,0.012572296506751957,0.003701194274494609,0.041813487869568886
1608957,1.9744311170344045e-05,0.044444444444444446,k__Bacteria,p__Actinobacteria,c__Nitriliruptoria,o__Euzebyales,f__Euzebyaceae,g__Euzebya,s__sp. DY32-46,0.012572296506751957,0.003701194274494609,0.041813487869568886
2213200,1.9744311170344045e-05,0.044444444444444446,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Nocardiaceae,g__Nocardia,s__mangyaensis,0.012572296506751957,0.003701194274494609,0.041813487869568886
74426,1.9744311170344045e-05,0.044444444444444446,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__aerofaciens,0.012572296506751957,0.003701194274494609,0.041813487869568886
92647,1.9744311170344045e-05,0.044444444444444446,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Paraburkholderia,s__tropica,0.012572296506751957,0.003701194274494609,0.041813487869568886
2730915,1.9744311170344045e-05,0.044444444444444446,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__sp. Z423-1,0.012572296506751957,0.003701194274494609,0.041813487869568886
2585717,1.9744311170344045e-05,0.044444444444444446,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,g__Agromyces,s__sp. HY052,0.012572296506751957,0.003701194274494609,0.041813487869568886
1752398,1.9744311170344045e-05,0.044444444444444446,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Ensifer,s__alkalisoli,0.012572296506751957,0.003701194274494609,0.041813487869568886
2282738,1.9744311170344045e-05,0.044444444444444446,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__paludis,0.012572296506751957,0.003701194274494609,0.041813487869568886
402297,1.9744311170344045e-05,0.044444444444444446,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides,s__daphniae,0.012572296506751957,0.003701194274494609,0.041813487869568886
